year,speciesCode,stratum,percent_diff
1991,21740,50,1.9425009976282284
1991,10210,61,0.4048297991570902
1991,10261,61,NA
1991,21720,61,0.4048297991570828
1991,21740,61,0.4048297991570947
1991,10210,62,-0.5116446044438946
1991,10261,62,NA
1991,21720,62,-0.5116446044438893
1991,21740,62,-0.5116446044438919
1991,10210,82,0.0020065188503259096
1991,10261,82,NA
1991,21720,82,0.002006518850334552
1991,21740,82,0.002006518850333656
1991,10210,90,NA
1991,10261,90,NA
1991,21720,90,0.24999423704553486
1991,21740,90,0.24999423704553483
1992,10210,10,-1.0716141447560932
1992,10261,10,NA
1992,21720,10,-1.071614144756081
1992,21740,10,-1.0716141447560972
1992,10210,20,-0.404982562459973
1992,10261,20,NA
1992,21720,20,-0.40498256245996045
1992,21740,20,-0.4049825624599665
1992,10210,31,-0.478629585236452
1992,10261,31,NA
1992,21720,31,-0.4786295852364572
1992,21740,31,-0.4786295852364674
1992,10210,32,-0.8269608769936309
1992,10261,32,NA
1992,21720,32,-0.8269608769936281
1992,21740,32,-0.8269608769936162
1992,10210,41,0.6274724284006739
1992,10261,41,NA
1992,21720,41,0.6274724284006623
1992,21740,41,0.6274724284006592
1992,10210,42,-0.4624197097796044
1992,10261,42,NA
1992,21720,42,-0.46241970977959257
1992,21740,42,-0.4624197097795959
1992,10210,43,0.2085751711033282
1992,10261,43,NA
1992,21720,43,0.20857517110333734
1992,21740,43,0.20857517110333706
1992,10210,50,1.9425009976282428
1992,10261,50,NA
1992,21720,50,1.9425009976282315
1992,21740,50,1.9425009976282344
1992,10210,61,NA
1992,10261,61,NA
1992,21720,61,0.4048297991570932
1992,21740,61,0.4048297991570802
1992,10210,62,NA
1992,10261,62,NA
1992,21720,62,-0.5116446044438822
1992,21740,62,-0.5116446044438926
1992,10210,82,0.0020065188503288196
1992,10261,82,NA
1992,21720,82,0.002006518850329815
1992,21740,82,0.002006518850338041
1992,10210,90,NA
1992,10261,90,NA
1992,21720,90,0.2499942370455282
1992,21740,90,0.24999423704553334
1993,10210,10,-1.0716141447560903
1993,10261,10,NA
1993,21720,10,-1.0716141447560876
1993,21740,10,-1.071614144756081
1993,10210,20,-0.4049825624599684
1993,10261,20,NA
1993,21720,20,-0.40498256245997066
1993,21740,20,-0.40498256245995295
1993,10210,31,-0.478629585236453
1993,10261,31,NA
1993,21720,31,-0.4786295852364745
1993,21740,31,-0.4786295852364568
1993,10210,32,-0.826960876993634
1993,10261,32,NA
