OBJECTID,gridcode,Stratum,Area_KM2,lon_centroid,lat_centroid,Shape_Length,Shape_Area,lon,lat
6731,34425948,71,13.719616000000000,-433158.206900000572205,1560859.775399999693036,0.217989483289128,0.002493384815639,-162.817706095520663,63.754472381667576
6732,12100736,71,13.719616000000000,-429454.206900000572205,1560859.775399999693036,0.217991841685538,0.002493768743409,-162.743176714263399,63.758844566315005
6733,71706744,71,3.524169318403207,-427111.431262002151925,1561049.963263374753296,0.106318126090373,0.000640741527924,-162.696530086738619,63.763283411663799
6734,84661992,71,0.061368949317571,-379766.440300000191201,1562668.650466666556895,0.039871708141333,0.000011182956639,-161.745602684666636,63.830012290000049
6735,30990528,71,1.414680387599774,-377189.987063449458219,1562492.974233110900968,0.158058323191639,0.000257803080177,-161.693110374874834,63.831121284466953
6736,49809672,71,3.285632644400254,-373718.441481555346400,1562256.265857270453125,0.167359676792645,0.000598778040012,-161.622376813932675,63.832592291196484
6737,71130392,71,5.156584901200734,-370078.214058291807305,1562008.055859526153654,0.176651362038431,0.000939788919547,-161.548199071060139,63.834099446963968
6738,28762656,71,7.027537157997765,-366404.030088464205619,1561757.530524478992447,0.185933498082677,0.001280834362560,-161.473321854602062,63.835583828596818
6739,23740834,71,8.898489414798245,-362717.308177343220450,1561506.150286146905273,0.195206213537269,0.001621913056831,-161.398181688638772,63.837036063035789
6740,32856366,71,10.769441671598726,-359024.582894763501827,1561254.360706132836640,0.204469629165792,0.001963023646615,-161.322911883947683,63.838453286845059
6741,47789396,71,12.640393928399206,-355328.519985504739452,1561002.343549043638632,0.213723871227331,0.002304164831916,-161.247566938069525,63.839834328981048
6742,62150592,71,5.337561412021033,-352789.583541014930233,1560991.992445260286331,0.125533146170577,0.000973082335189,-161.196163473852579,63.842214173529008
6743,66000372,81,0.084405417268326,-1109314.129200000315905,1555410.394966666353866,0.021901172324775,0.000014604141556,-175.853087459333295,62.315313475666720
6744,46445780,81,5.342216046799653,-1106805.781125247478485,1556170.500444089295343,0.160495994987496,0.000924609977212,-175.811891058501516,62.328987877809816
6745,93331816,81,12.648775841983992,-1103478.465974310180172,1557031.136528616771102,0.199732125530719,0.002190883157571,-175.756283421758837,62.345864925882303
6746,58204124,81,13.719616000000000,-1099878.206900000572205,1557155.775399999693036,0.215411710194228,0.002377189888156,-175.691025720089357,62.357265739502928
6747,17074220,81,13.719616000000000,-1096174.206900000572205,1557155.775399999693036,0.215439790361977,0.002378026069326,-175.623039955338328,62.367878838285250
6748,97803584,81,13.719616000000000,-1092470.206900000572205,1557155.775399999693036,0.215467678100932,0.002378860413028,-175.555007164649936,62.378459851636364
6749,75953856,81,13.719616000000000,-1088766.206900000572205,1557155.775399999693036,0.215495374824821,0.002379692917994,-175.486927442366749,62.389008746225514
6750,67291608,81,13.719616000000000,-1085062.206900000572205,1557155.775399999693036,0.215522881324143,0.002380523586908,-175.418800881800024,62.399525488561331
6751,73074360,81,13.719616000000000,-1081358.206900000572205,1557155.775399999693036,0.215550191803372,0.002381352305369,-175.350627579283866,62.410010045335490
6752,18784486,81,13.719616000000000,-1077654.206900000572205,1557155.775399999693036,0.215577313387275,0.002382179180539,-175.282407630139687,62.420462383686548
6753,49724032,81,13.719616000000000,-1073950.206900000572205,1557155.775399999693036,0.215604242615503,0.002383004129373,-175.214141130746782,62.430882469945722
6754,40838296,81,13.719616000000000,-1070246.206900000572205,1557155.775399999693036,0.215630981297188,0.002383827209997,-175.145828177524891,62.441270271311893
6755,27820122,81,13.719616000000000,-1066542.206900000572205,1557155.775399999693036,0.215657529631446,0.002384648379661,-175.077468868255750,62.451625754555771
6756,73048664,81,13.719616000000000,-1062838.206900000572205,1557155.775399999693036,0.215683888171834,0.002385467628443,-175.009063300101730,62.461948886137684
6757,84036560,81,13.719616000000000,-1059134.206900000572205,1557155.775399999693036,0.215710053618120,0.002386284940721,-174.940611571854362,62.472239633458990
6758,15988211,81,13.719616000000000,-1055430.206900000572205,1557155.775399999693036,0.215736029736466,0.002387100326373,-174.872113782024485,62.482497963994199
6759,23484510,81,13.719616000000000,-1051726.206900000572205,1557155.775399999693036,0.215761814286329,0.002387913722409,-174.803570030748716,62.492723844470127
6760,45075452,81,13.719616000000000,-1048022.206900000572205,1557155.775399999693036,0.215787409325970,0.002388725162927,-174.734980417439431,62.502917242082518
6761,77342864,81,13.719616000000000,-1044318.206900000572205,1557155.775399999693036,0.215812816644499,0.002389534695522,-174.666345042141018,62.513078123841581
6762,41524712,81,13.719616000000000,-1040614.206900000572205,1557155.775399999693036,0.215838032150525,0.002390342213875,-174.597664006102775,62.523206457139416
6763,9011844,81,13.719616000000000,-1036910.206900000572205,1557155.775399999693036,0.215863059488316,0.002391147773091,-174.528937411025709,62.533302208944882
6764,96727528,81,13.719616000000000,-1033206.206900000572205,1557155.775399999693036,0.215887898095804,0.002391951387566,-174.460165358611931,62.543365347226661
6765,52051300,81,13.719616000000000,-1029502.206900000572205,1557155.775399999693036,0.215912548822461,0.002392752990835,-174.391347951509886,62.553395839686701
