OBJECTID,gridcode,Area_KM2,lon_centroid,lat_centroid,Shape_Length,Shape_Area,lon,lat
1960,3203566,13.719616000000000,-507238.206900000572205,2505379.775399999693036,0.285212571640601,0.003576053100903,-168.423660852856358,72.066272606639401
1961,75907128,13.719616000000000,-503534.206900000572205,2505379.775399999693036,0.285198349652054,0.003577467226377,-168.321581914558493,72.073621183929063
1962,28786150,13.719616000000000,-499830.206900000572205,2505379.775399999693036,0.285183735305000,0.003578872713763,-168.219434188419825,72.080918778765366
1963,66295832,13.719616000000000,-496126.206900000572205,2505379.775399999693036,0.285168732128154,0.003580269498634,-168.117218088517404,72.088165331024186
1964,89286200,13.719616000000000,-492422.206900000572205,2505379.775399999693036,0.285153351234242,0.003581657637110,-168.014934030989963,72.095360780804540
1965,30537290,13.719616000000000,-488718.206900000572205,2505379.775399999693036,0.285137594373862,0.003583036992446,-167.912582434167717,72.102505068938896
1966,32286766,13.719616000000000,-485014.206900000572205,2505379.775399999693036,0.285121472887649,0.003584407589303,-167.810163717040069,72.109598136687566
1967,92642816,13.719616000000000,-481310.206900000572205,2505379.775399999693036,0.285104987637762,0.003585769364880,-167.707678302188128,72.116639924840584
1968,3802567,13.719616000000000,-477606.206900000572205,2505379.775399999693036,0.285088151245462,0.003587122311711,-167.605126612580733,72.123630375415431
1969,82331472,13.719616000000000,-473902.206900000572205,2505379.775399999693036,0.285070967442178,0.003588466363213,-167.502509073134974,72.130569430536738
1970,26399774,13.719616000000000,-470198.206900000572205,2505379.775399999693036,0.285053442446993,0.003589801499503,-167.399826111218800,72.137457032104493
1971,16103154,13.719616000000000,-466494.206900000572205,2505379.775399999693036,0.285035586461174,0.003591127741165,-167.297078155851722,72.144293122860802
1972,3127961,13.719616000000000,-462790.206900000572205,2505379.775399999693036,0.285017401472320,0.003592444896870,-167.194265637817750,72.151077645831208
1973,6263564,13.719616000000000,-459086.206900000572205,2505379.775399999693036,0.284998898842210,0.003593753095395,-167.091388988911120,72.157810544362334
1974,94042416,13.719616000000000,-455382.206900000572205,2505379.775399999693036,0.284980085491128,0.003595052308757,-166.988448643729271,72.164491762250108
1975,2787697,13.719616000000000,-451678.206900000572205,2505379.775399999693036,0.284960965420620,0.003596342316084,-166.885445038402736,72.171121243596019
1976,79536488,13.719616000000000,-447974.206900000572205,2505379.775399999693036,0.284941546747140,0.003597623198553,-166.782378609449381,72.177698932539045
1977,53016840,13.719616000000000,-444270.206900000572205,2505379.775399999693036,0.284921841181358,0.003598895048077,-166.679249797764186,72.184224773827495
1978,32224866,13.719616000000000,-440566.206900000572205,2505379.775399999693036,0.284901849182233,0.003600157666188,-166.576059043188963,72.190698712929859
1979,71436520,13.719616000000000,-436862.206900000572205,2505379.775399999693036,0.284881585558959,0.003601411149344,-166.472806790387239,72.197120694879558
1980,18940260,13.719616000000000,-433158.206900000572205,2505379.775399999693036,0.284861050493068,0.003602655270604,-166.369493482214580,72.203490665386553
1981,73883768,13.719616000000000,-429454.206900000572205,2505379.775399999693036,0.284840255614768,0.003603890208300,-166.266119566087184,72.209808570838476
1982,68160712,13.719616000000000,-425750.206900000572205,2505379.775399999693036,0.284819210377319,0.003605115850783,-166.162685490043202,72.216074357725972
1983,88740904,13.719616000000000,-422046.206900000572205,2505379.775399999693036,0.284797916929671,0.003606332122258,-166.059191702868105,72.222287972889077
1984,51521580,13.719616000000000,-418342.206900000572205,2505379.775399999693036,0.284776386104497,0.003607539019861,-165.955638656701694,72.228449363692164
1985,26075408,13.719616000000000,-414638.206900000572205,2505379.775399999693036,0.284754626297215,0.003608736521656,-165.852026804145254,72.234558477490793
1986,99680480,13.719616000000000,-410934.206900000572205,2505379.775399999693036,0.284732642263202,0.003609924587310,-165.748356600199344,72.240615262784900
1987,89191848,13.719616000000000,-407230.206900000572205,2505379.775399999693036,0.284710442572358,0.003611103151479,-165.644628502046913,72.246619667744810
1988,37936876,13.719616000000000,-403526.206900000572205,2505379.775399999693036,0.284688040562687,0.003612272318806,-165.540842966487816,72.252571640953065
1989,37827728,13.719616000000000,-399822.206900000572205,2505379.775399999693036,0.284665437465302,0.003613431920682,-165.437000453523837,72.258471131599961
1990,60183972,13.719616000000000,-396118.206900000572205,2505379.775399999693036,0.284642643570474,0.003614582002456,-165.333101423913092,72.264318089272805
1991,24673446,13.719616000000000,-392414.206900000572205,2505379.775399999693036,0.284619665062735,0.003615722468411,-165.229146342086523,72.270112463556160
1992,63250060,13.719616000000000,-388710.206900000572205,2505379.775399999693036,0.284596514043297,0.003616853330120,-165.125135671135041,72.275854205112452
1993,98125888,13.719616000000000,-385006.206900000572205,2505379.775399999693036,0.284573193725188,0.003617974533217,-165.021069877003072,72.281543264389995
1994,1343759,13.719616000000000,-381302.206900000572205,2505379.775399999693036,0.284549716309581,0.003619086105530,-164.916949428717601,72.287179592331071
1995,2012953,13.719616000000000,-377598.206900000572205,2505379.775399999693036,0.284526088397140,0.003620187946291,-164.812774793511892,72.292763140769836
1996,72730736,13.719616000000000,-373894.206900000572205,2505379.775399999693036,0.284502314699388,0.003621280042844,-164.708546443669746,72.298293861426799
1997,44336356,13.719616000000000,-370190.206900000572205,2505379.775399999693036,0.284478410464219,0.003622362460824,-164.604264851171877,72.303771706552837
1998,34522532,13.719616000000000,-366486.206900000572205,2505379.775399999693036,0.284454377391701,0.003623435036985,-164.499930489712000,72.309196628320564
1999,59229944,13.719616000000000,-362782.206900000572205,2505379.775399999693036,0.284430227780054,0.003624497845864,-164.395543834683139,72.314568579910258
2000,849886,13.719616000000000,-359078.206900000572205,2505379.775399999693036,0.284405968114211,0.003625550789154,-164.291105363185238,72.319887515090628
2001,47196332,13.719616000000000,-355374.206900000572205,2505379.775399999693036,0.284381605644668,0.003626593841068,-164.186615552058242,72.325153387841581
2002,93697680,13.719616000000000,-351670.206900000572205,2505379.775399999693036,0.284357149212066,0.003627626982500,-164.082074884007852,72.330366151685539
2003,19783464,13.719616000000000,-347966.206900000572205,2505379.775399999693036,0.284332609550387,0.003628650211210,-163.977483837829254,72.335525761597935
2004,83347992,13.719616000000000,-344262.206900000572205,2505379.775399999693036,0.284307996138838,0.003629663621456,-163.872842896995564,72.340632172929304
2005,69221848,13.719616000000000,-340558.206900000572205,2505379.775399999693036,0.284283309677460,0.003630666938439,-163.768152546262826,72.345685340955086
2006,29334444,13.719616000000000,-336854.206900000572205,2505379.775399999693036,0.284258565026769,0.003631660257584,-163.663413271387185,72.350685221449524
2007,38808944,13.719616000000000,-333150.206900000572205,2505379.775399999693036,0.284233767018496,0.003632643487598,-163.558625559095731,72.355631770886674
2008,3663141,13.719616000000000,-329446.206900000572205,2505379.775399999693036,0.284208928636819,0.003633616703367,-163.453789897663938,72.360524945792164
2009,93306632,13.719616000000000,-325742.206900000572205,2505379.775399999693036,0.284184053343742,0.003634579808841,-163.348906777092878,72.365364703165966
2010,55053616,13.719616000000000,-322038.206900000572205,2505379.775399999693036,0.284159152393214,0.003635532827814,-163.243976689404377,72.370151000760757
2011,89768608,13.719616000000000,-318334.206900000572205,2505379.775399999693036,0.284134234500897,0.003636475735927,-163.139000126285595,72.374883796544694
2012,25657078,13.719616000000000,-314630.206900000572205,2505379.775399999693036,0.284109306623045,0.003637408518364,-163.033977582552382,72.379563049049892
2013,66889912,13.719616000000000,-310926.206900000572205,2505379.775399999693036,0.284084378688403,0.003638331094175,-162.928909553432675,72.384188716750842
2014,29257872,13.719616000000000,-307222.206900000572205,2505379.775399999693036,0.284059455129342,0.003639243426783,-162.823796535389107,72.388760759139984
2015,1699358,13.719616000000000,-303518.206900000572205,2505379.775399999693036,0.284034550944575,0.003640145578940,-162.718639027006247,72.393279136277116
2016,70849888,13.719616000000000,-299814.206900000572205,2505379.775399999693036,0.284009668564204,0.003641037420347,-162.613437526950435,72.397743807330116
2017,31161672,13.719616000000000,-296110.206900000572205,2505379.775399999693036,0.283984818087881,0.003641918985295,-162.508192536767240,72.402154733350841
2018,5873004,13.719616000000000,-292406.206900000572205,2505379.775399999693036,0.283960010853114,0.003642790266309,-162.402904558248224,72.406511875620339
2019,51987172,13.719616000000000,-288702.206900000572205,2505379.775399999693036,0.283935249878113,0.003643651134970,-162.297574094020803,72.410815195253420
2020,37241532,13.719616000000000,-284998.206900000572205,2505379.775399999693036,0.283910547821326,0.003644501676839,-162.192201648961003,72.415064654176760
2021,79305336,13.719616000000000,-281294.206900000572205,2505379.775399999693036,0.283885913025818,0.003645341901816,-162.086787729028202,72.419260214297069
2022,67224400,13.719616000000000,-277590.206900000572205,2505379.775399999693036,0.283861352325468,0.003646171747017,-161.981332840934613,72.423401838832504
2023,75287704,13.719616000000000,-273886.206900000572205,2505379.775399999693036,0.283836872572288,0.003646991081379,-161.875837493761793,72.427489490848274
2024,34771180,13.719616000000000,-270182.206900000572205,2505379.775399999693036,0.283812484152960,0.003647799961514,-161.770302195661202,72.431523133792155
2025,41790128,13.719616000000000,-266478.206900000572205,2505379.775399999693036,0.283788196312006,0.003648598449292,-161.664727457713212,72.435502732229168
2026,330521,13.719616000000000,-262774.206900000572205,2505379.775399999693036,0.283764015183079,0.003649386434154,-161.559113792420817,72.439428250121523
2027,98517504,13.719616000000000,-259070.206900000572205,2505379.775399999693036,0.283739949978130,0.003650163910905,-161.453461711725879,72.443299652697505
2028,80159816,13.719616000000000,-255366.206900000572205,2505379.775399999693036,0.283716007100868,0.003650930807974,-161.347771730401774,72.447116905445895
2029,29185680,13.719616000000000,-251662.206900000572205,2505379.775399999693036,0.283692199173261,0.003651687214763,-161.242044362983506,72.450879973955750
2030,29157972,13.719616000000000,-247958.206900000572205,2505379.775399999693036,0.283668527689055,0.003652432978616,-161.136280126692412,72.454588824870413
2031,8574146,13.719616000000000,-244254.206900000572205,2505379.775399999693036,0.283645004924766,0.003653168153001,-161.030479538555795,72.458243424813830
2032,6795911,13.719616000000000,-240550.206900000572205,2505379.775399999693036,0.283621639966588,0.003653892771581,-160.924643117515984,72.461843741110158
2033,69743824,13.719616000000000,-236846.206900000572205,2505379.775399999693036,0.283598437189388,0.003654606699740,-160.818771382652727,72.465389741693258
2034,7998628,13.719616000000000,-233142.206900000572205,2505379.775399999693036,0.283575407795341,0.003655310047503,-160.712864855152048,72.468881394190277
2035,57000388,13.719616000000000,-229438.206900000572205,2505379.775399999693036,0.283552558486682,0.003656002707066,-160.606924057056204,72.472318667620627
2036,29772582,13.719616000000000,-225734.206900000572205,2505379.775399999693036,0.283529894897891,0.003656684595824,-160.500949510372749,72.475701530810738
2037,51746732,13.719616000000000,-222030.206900000572205,2505379.775399999693036,0.283507426549523,0.003657355790206,-160.394941739292335,72.479029953388348
2038,62740868,13.719616000000000,-218326.206900000572205,2505379.775399999693036,0.283485162406246,0.003658016291889,-160.288901268646356,72.482303905985162
2039,10838158,13.719616000000000,-214622.206900000572205,2505379.775399999693036,0.283463108100500,0.003658666060020,-160.182828624372604,72.485523358495612
2040,5541337,13.719616000000000,-210918.206900000572205,2505379.775399999693036,0.283441270940723,0.003659304980562,-160.076724334267510,72.488688281676588
2041,14229984,13.719616000000000,-207214.206900000572205,2505379.775399999693036,0.283419661348872,0.003659933137624,-159.970588923552555,72.491798647384698
2042,19616390,13.719616000000000,-203510.206900000572205,2505379.775399999693036,0.283398283117135,0.003660550529548,-159.864422922725396,72.494854427476227
2043,76119800,13.719616000000000,-199806.206900000572205,2505379.775399999693036,0.283377146612349,0.003661157095771,-159.758226861592561,72.497855594322445
2044,58086128,13.719616000000000,-196102.206900000572205,2505379.775399999693036,0.283356257198074,0.003661752835128,-159.652001269568615,72.500802120584311
2045,29246934,13.719616000000000,-192398.206900000572205,2505379.775399999693036,0.283335623509422,0.003662337735542,-159.545746679487820,72.503693980046492
2046,23989346,13.719616000000000,-188694.206900000572205,2505379.775399999693036,0.283315250568535,0.003662911695897,-159.439463622283654,72.506531145949879
2047,98799904,13.719616000000000,-184990.206900000572205,2505379.775399999693036,0.283295146355333,0.003663474798439,-159.333152632279194,72.509313592608692
2048,55661916,13.719616000000000,-181286.206900000572205,2505379.775399999693036,0.283275320650285,0.003664027067337,-159.226814242646952,72.512041295417276
2049,21797664,13.719616000000000,-177582.206900000572205,2505379.775399999693036,0.283255775523156,0.003664568376734,-159.120448989208853,72.514714229192379
